run,regime,slots,d_model,dropout,alpha,seed,best_val_loss,epochs_run,all_acc,reg_acc,irr_acc,balanced_acc,reg_n,irr_n,wug_reg,wug_reg_n,wug_irr,wug_irr_n
v20_noslot_d64_dr0p1_a2_s3,natural,False,64,0.1,2.0,3,0.06340004518055,61,0.9309,0.9717,0.0,0.4859,389,16,56,90,1,90
v20_noslot_d64_dr0p2_a0p25_s1,natural,False,64,0.2,0.25,1,0.08825952982386717,168,0.9259,0.9558,0.3,0.6279,385,20,55,90,2,90
v20_noslot_d64_dr0p2_a0p25_s2,natural,False,64,0.2,0.25,2,0.06400365926898442,200,0.9086,0.9456,0.1053,0.5254,386,19,50,90,0,90
v20_noslot_d64_dr0p2_a0p25_s3,natural,False,64,0.2,0.25,3,0.06735149333969905,200,0.9185,0.9589,0.0,0.4794,389,16,52,90,0,90
v20_noslot_d64_dr0p2_a0p5_s1,natural,False,64,0.2,0.5,1,0.08984485662613924,125,0.9136,0.9429,0.3,0.6214,385,20,51,90,0,90
v20_noslot_d64_dr0p2_a0p5_s2,natural,False,64,0.2,0.5,2,0.04875787583967814,190,0.916,0.9534,0.1579,0.5556,386,19,44,90,0,90
v20_noslot_d64_dr0p2_a0p5_s3,natural,False,64,0.2,0.5,3,0.06232809776870104,175,0.9407,0.9769,0.0625,0.5197,389,16,49,90,1,90
v20_noslot_d64_dr0p2_a1_s1,natural,False,64,0.2,1.0,1,0.07991622144786212,121,0.9457,0.9792,0.3,0.6396,385,20,55,90,0,90
v20_noslot_d64_dr0p2_a1_s2,natural,False,64,0.2,1.0,2,0.05892405157478956,135,0.9259,0.9663,0.1053,0.5358,386,19,53,90,0,90
v20_noslot_d64_dr0p2_a1_s3,natural,False,64,0.2,1.0,3,0.05552931223064661,107,0.9259,0.964,0.0,0.482,389,16,53,90,0,90
v20_noslot_d64_dr0p2_a2_s1,natural,False,64,0.2,2.0,1,0.07962682399039085,90,0.9407,0.9792,0.2,0.5896,385,20,56,90,0,90
v20_noslot_d64_dr0p2_a2_s2,natural,False,64,0.2,2.0,2,0.0451962139027623,136,0.9309,0.9715,0.1053,0.5384,386,19,56,90,0,90
v20_noslot_d64_dr0p2_a2_s3,natural,False,64,0.2,2.0,3,0.05213195708795236,107,0.9185,0.9563,0.0625,0.5094,389,16,55,90,1,90
v20_noslot_d64_dr0p3_a0p25_s1,natural,False,64,0.3,0.25,1,0.08223698273874246,173,0.9111,0.9403,0.3,0.6201,385,20,51,90,0,90
v20_noslot_d64_dr0p3_a0p25_s2,natural,False,64,0.3,0.25,2,0.06527721788734198,180,0.8988,0.9404,0.0526,0.4965,386,19,49,90,0,90
v20_noslot_d64_dr0p3_a0p25_s3,natural,False,64,0.3,0.25,3,0.06288271547796634,200,0.9062,0.9409,0.0625,0.5017,389,16,44,90,1,90
v20_noslot_d64_dr0p3_a0p5_s1,natural,False,64,0.3,0.5,1,0.08321829412419063,145,0.9309,0.9688,0.2,0.5844,385,20,50,90,0,90
v20_noslot_d64_dr0p3_a0p5_s2,natural,False,64,0.3,0.5,2,0.05829408052019202,164,0.9235,0.9637,0.1053,0.5345,386,19,53,90,1,90
v20_noslot_d64_dr0p3_a0p5_s3,natural,False,64,0.3,0.5,3,0.06205041932228666,189,0.9185,0.9537,0.0625,0.5081,389,16,49,90,0,90
v20_noslot_d64_dr0p3_a1_s1,natural,False,64,0.3,1.0,1,0.0870086050664003,105,0.9185,0.9558,0.2,0.5779,385,20,54,90,1,90
v20_noslot_d64_dr0p3_a1_s2,natural,False,64,0.3,1.0,2,0.05238064887145391,128,0.9185,0.9585,0.1053,0.5319,386,19,52,90,0,90
v20_noslot_d64_dr0p3_a1_s3,natural,False,64,0.3,1.0,3,0.052658834852851354,166,0.916,0.9537,0.0,0.4769,389,16,58,90,0,90
v20_noslot_d64_dr0p3_a2_s1,natural,False,64,0.3,2.0,1,0.08166386294536866,113,0.9284,0.9714,0.2,0.5857,385,20,57,90,1,90
v20_noslot_d64_dr0p3_a2_s2,natural,False,64,0.3,2.0,2,0.045887427404522896,145,0.9111,0.9508,0.1053,0.528,386,19,52,90,1,90
v20_noslot_d64_dr0p3_a2_s3,natural,False,64,0.3,2.0,3,0.061372491817634836,122,0.9235,0.9614,0.0,0.4807,389,16,54,90,1,90
v20_oversample_noslot_d128_dr0p1_a0p25_s1,oversample,False,128,0.1,0.25,1,0.15972718137961167,68,0.8222,0.8571,0.2,0.5286,385,20,43,90,2,90
v20_oversample_noslot_d128_dr0p1_a0p25_s2,oversample,False,128,0.1,0.25,2,0.09015268166191302,130,0.8889,0.9249,0.1053,0.5151,386,19,51,90,0,90
v20_oversample_noslot_d128_dr0p1_a0p25_s3,oversample,False,128,0.1,0.25,3,0.10674209392163903,125,0.916,0.9512,0.125,0.5381,389,16,53,90,0,90
v20_oversample_noslot_d128_dr0p1_a0p5_s1,oversample,False,128,0.1,0.5,1,0.1143574770539999,65,0.8864,0.9221,0.25,0.586,385,20,49,90,3,90
v20_oversample_noslot_d128_dr0p1_a0p5_s2,oversample,False,128,0.1,0.5,2,0.07883358607068658,135,0.9136,0.9534,0.1053,0.5293,386,19,52,90,0,90
v20_oversample_noslot_d128_dr0p1_a0p5_s3,oversample,False,128,0.1,0.5,3,0.09246643111467935,96,0.9062,0.9409,0.0625,0.5017,389,16,53,90,1,90
v20_oversample_noslot_d128_dr0p1_a1_s1,oversample,False,128,0.1,1.0,1,0.10797011483317384,75,0.921,0.9532,0.3,0.6266,385,20,54,90,2,90
v20_oversample_noslot_d128_dr0p1_a1_s2,oversample,False,128,0.1,1.0,2,0.0699199338694318,104,0.916,0.9585,0.1053,0.5319,386,19,46,90,2,90
v20_oversample_noslot_d128_dr0p1_a1_s3,oversample,False,128,0.1,1.0,3,0.08178008186559264,99,0.9309,0.9614,0.25,0.6057,389,16,56,90,1,90
v20_oversample_noslot_d128_dr0p1_a2_s1,oversample,False,128,0.1,2.0,1,0.09313794554999241,48,0.9284,0.9584,0.25,0.6042,385,20,60,90,0,90
v20_oversample_noslot_d128_dr0p1_a2_s2,oversample,False,128,0.1,2.0,2,0.07095790915907575,55,0.9111,0.9482,0.1579,0.553,386,19,47,90,0,90
v20_oversample_noslot_d128_dr0p1_a2_s3,oversample,False,128,0.1,2.0,3,0.07223106763110711,44,0.9086,0.9486,0.0625,0.5055,389,16,53,90,0,90
v20_oversample_noslot_d128_dr0p2_a0p25_s1,oversample,False,128,0.2,0.25,1,0.10857260700028676,82,0.8765,0.9065,0.3,0.6032,385,20,50,90,7,90
v20_oversample_noslot_d128_dr0p2_a0p25_s2,oversample,False,128,0.2,0.25,2,0.08220981294289231,105,0.8889,0.9275,0.1579,0.5427,386,19,43,90,4,90
v20_oversample_noslot_d128_dr0p2_a0p25_s3,oversample,False,128,0.2,0.25,3,0.08820514599434458,102,0.9086,0.9357,0.3125,0.6241,389,16,48,90,2,90
v20_oversample_noslot_d128_dr0p2_a0p5_s1,oversample,False,128,0.2,0.5,1,0.10523191839456558,91,0.9012,0.9325,0.3,0.6162,385,20,48,90,4,90
v20_oversample_noslot_d128_dr0p2_a0p5_s2,oversample,False,128,0.2,0.5,2,0.09048471141320008,84,0.8963,0.9326,0.1579,0.5453,386,19,50,90,0,90
v20_oversample_noslot_d128_dr0p2_a0p5_s3,oversample,False,128,0.2,0.5,3,0.08688933549162287,80,0.9062,0.9306,0.3125,0.6215,389,16,48,90,4,90
v20_oversample_noslot_d128_dr0p2_a1_s1,oversample,False,128,0.2,1.0,1,0.09656765670157395,49,0.8741,0.9013,0.35,0.6256,385,20,50,90,4,90
v20_oversample_noslot_d128_dr0p2_a1_s2,oversample,False,128,0.2,1.0,2,0.06648946739733219,65,0.9037,0.9404,0.1579,0.5492,386,19,46,90,2,90
v20_oversample_noslot_d128_dr0p2_a1_s3,oversample,False,128,0.2,1.0,3,0.08321292404658519,62,0.9111,0.946,0.1875,0.5668,389,16,51,90,3,90
v20_oversample_noslot_d128_dr0p2_a2_s1,oversample,False,128,0.2,2.0,1,0.0992387904284092,52,0.9185,0.9481,0.35,0.649,385,20,50,90,7,90
v20_oversample_noslot_d128_dr0p2_a2_s2,oversample,False,128,0.2,2.0,2,0.07017676474956366,47,0.8963,0.9326,0.2105,0.5716,386,19,40,90,2,90
v20_oversample_noslot_d128_dr0p2_a2_s3,oversample,False,128,0.2,2.0,3,0.07223008180825183,62,0.9037,0.9383,0.1875,0.5629,389,16,49,90,0,90
v20_oversample_noslot_d128_dr0p3_a0p25_s1,oversample,False,128,0.3,0.25,1,0.10408678708168176,105,0.8914,0.9195,0.35,0.6347,385,20,45,90,5,90
v20_oversample_noslot_d128_dr0p3_a0p25_s2,oversample,False,128,0.3,0.25,2,0.07673809521545011,122,0.9012,0.9378,0.1579,0.5479,386,19,45,90,4,90
v20_oversample_noslot_d128_dr0p3_a0p25_s3,oversample,False,128,0.3,0.25,3,0.08109609961796266,112,0.9136,0.9332,0.4375,0.6853,389,16,51,90,1,90
v20_oversample_noslot_d128_dr0p3_a0p5_s1,oversample,False,128,0.3,0.5,1,0.098623934130256,90,0.9037,0.9299,0.4,0.6649,385,20,47,90,3,90
v20_oversample_noslot_d128_dr0p3_a0p5_s2,oversample,False,128,0.3,0.5,2,0.07547143724961923,91,0.9111,0.9456,0.2105,0.5781,386,19,42,90,3,90
v20_oversample_noslot_d128_dr0p3_a0p5_s3,oversample,False,128,0.3,0.5,3,0.06821497476014954,83,0.9086,0.928,0.4375,0.6828,389,16,49,90,4,90
v20_oversample_noslot_d128_dr0p3_a1_s1,oversample,False,128,0.3,1.0,1,0.11176358163356781,97,0.9185,0.9506,0.35,0.6503,385,20,53,90,1,90
v20_oversample_noslot_d128_dr0p3_a1_s2,oversample,False,128,0.3,1.0,2,0.07776639259491976,62,0.8642,0.8964,0.1579,0.5271,386,19,40,90,0,90
v20_oversample_noslot_d128_dr0p3_a1_s3,oversample,False,128,0.3,1.0,3,0.07732241514783639,82,0.8815,0.8997,0.4375,0.6686,389,16,43,90,4,90
v20_oversample_noslot_d128_dr0p3_a2_s1,oversample,False,128,0.3,2.0,1,0.11445211432874203,72,0.8938,0.9247,0.3,0.6123,385,20,48,90,5,90
v20_oversample_noslot_d128_dr0p3_a2_s2,oversample,False,128,0.3,2.0,2,0.07014133473141836,78,0.8938,0.9326,0.1579,0.5453,386,19,47,90,1,90
v20_oversample_noslot_d128_dr0p3_a2_s3,oversample,False,128,0.3,2.0,3,0.06635739801165003,69,0.8988,0.9177,0.4375,0.6776,389,16,43,90,6,90
v20_oversample_noslot_d64_dr0p1_a0p25_s1,oversample,False,64,0.1,0.25,1,0.10836215317249298,99,0.8938,0.9273,0.3,0.6136,385,20,50,90,0,90
v20_oversample_noslot_d64_dr0p1_a0p25_s2,oversample,False,64,0.1,0.25,2,0.08997475613768284,121,0.884,0.9145,0.2105,0.5625,386,19,48,90,0,90
v20_oversample_noslot_d64_dr0p1_a0p25_s3,oversample,False,64,0.1,0.25,3,0.08732381384246625,108,0.8988,0.928,0.1875,0.5578,389,16,49,90,5,90
v20_oversample_noslot_d64_dr0p1_a0p5_s1,oversample,False,64,0.1,0.5,1,0.09517333018951692,116,0.9235,0.9558,0.25,0.6029,385,20,48,90,3,90
v20_oversample_noslot_d64_dr0p1_a0p5_s2,oversample,False,64,0.1,0.5,2,0.0891030072234571,145,0.9235,0.9611,0.1053,0.5332,386,19,51,90,3,90
v20_oversample_noslot_d64_dr0p1_a0p5_s3,oversample,False,64,0.1,0.5,3,0.09210768435150385,100,0.9111,0.9357,0.3125,0.6241,389,16,53,90,2,90
v20_oversample_noslot_d64_dr0p1_a1_s1,oversample,False,64,0.1,1.0,1,0.11233298702595326,60,0.9111,0.9429,0.3,0.6214,385,20,49,90,5,90
v20_oversample_noslot_d64_dr0p1_a1_s2,oversample,False,64,0.1,1.0,2,0.07291733099219318,73,0.8938,0.9326,0.1053,0.519,386,19,52,90,1,90
v20_oversample_noslot_d64_dr0p1_a1_s3,oversample,False,64,0.1,1.0,3,0.09357227542652534,57,0.8988,0.9254,0.25,0.5877,389,16,42,90,3,90
v20_oversample_noslot_d64_dr0p1_a2_s1,oversample,False,64,0.1,2.0,1,0.09068192412646917,58,0.9259,0.9558,0.35,0.6529,385,20,55,90,2,90
v20_oversample_noslot_d64_dr0p1_a2_s2,oversample,False,64,0.1,2.0,2,0.07303096007448263,61,0.921,0.9611,0.1053,0.5332,386,19,51,90,3,90
v20_oversample_noslot_d64_dr0p1_a2_s3,oversample,False,64,0.1,2.0,3,0.07498510232051978,61,0.916,0.946,0.1875,0.5668,389,16,54,90,2,90
v20_oversample_noslot_d64_dr0p2_a0p25_s1,oversample,False,64,0.2,0.25,1,0.10572314835511722,136,0.9235,0.9584,0.3,0.6292,385,20,47,90,4,90
v20_oversample_noslot_d64_dr0p2_a0p25_s2,oversample,False,64,0.2,0.25,2,0.07124649038395056,106,0.879,0.9145,0.1579,0.5362,386,19,49,90,2,90
v20_oversample_noslot_d64_dr0p2_a0p25_s3,oversample,False,64,0.2,0.25,3,0.08298958092927933,106,0.916,0.9383,0.4375,0.6879,389,16,49,90,3,90
v20_oversample_noslot_d64_dr0p2_a0p5_s1,oversample,False,64,0.2,0.5,1,0.10801372906336418,103,0.8938,0.9247,0.3,0.6123,385,20,48,90,6,90
v20_oversample_noslot_d64_dr0p2_a0p5_s2,oversample,False,64,0.2,0.5,2,0.07955908208476523,120,0.9086,0.9456,0.1053,0.5254,386,19,47,90,1,90
v20_oversample_noslot_d64_dr0p2_a0p5_s3,oversample,False,64,0.2,0.5,3,0.07348005326751333,98,0.921,0.9434,0.375,0.6592,389,16,39,90,6,90
v20_oversample_noslot_d64_dr0p2_a1_s1,oversample,False,64,0.2,1.0,1,0.1016272405305734,72,0.8889,0.9195,0.3,0.6097,385,20,41,90,4,90
v20_oversample_noslot_d64_dr0p2_a1_s2,oversample,False,64,0.2,1.0,2,0.07295354498693576,106,0.8988,0.9326,0.1579,0.5453,386,19,45,90,3,90
v20_oversample_noslot_d64_dr0p2_a1_s3,oversample,False,64,0.2,1.0,3,0.07341084763622628,105,0.9284,0.9537,0.3125,0.6331,389,16,50,90,4,90
v20_oversample_noslot_d64_dr0p2_a2_s1,oversample,False,64,0.2,2.0,1,0.1190575799689843,61,0.8568,0.8857,0.25,0.5679,385,20,39,90,9,90
v20_oversample_noslot_d64_dr0p2_a2_s2,oversample,False,64,0.2,2.0,2,0.06432198833387631,70,0.8988,0.9326,0.2105,0.5716,386,19,52,90,3,90
v20_oversample_noslot_d64_dr0p2_a2_s3,oversample,False,64,0.2,2.0,3,0.06516794297987452,68,0.8963,0.9229,0.3125,0.6177,389,16,49,90,3,90
v20_oversample_noslot_d64_dr0p3_a0p25_s1,oversample,False,64,0.3,0.25,1,0.10535823195599593,146,0.884,0.9117,0.35,0.6308,385,20,47,90,4,90
v20_oversample_noslot_d64_dr0p3_a0p25_s2,oversample,False,64,0.3,0.25,2,0.07309659484487313,166,0.8963,0.9301,0.2105,0.5703,386,19,47,90,4,90
v20_oversample_noslot_d64_dr0p3_a0p25_s3,oversample,False,64,0.3,0.25,3,0.07685720565943764,119,0.8815,0.9023,0.3125,0.6074,389,16,44,90,4,90
v20_oversample_noslot_d64_dr0p3_a0p5_s1,oversample,False,64,0.3,0.5,1,0.09954923004485093,147,0.8914,0.9195,0.35,0.6347,385,20,48,90,5,90
v20_oversample_noslot_d64_dr0p3_a0p5_s2,oversample,False,64,0.3,0.5,2,0.08816118753300263,90,0.8568,0.8964,0.0526,0.4745,386,19,40,90,4,90
v20_oversample_noslot_d64_dr0p3_a0p5_s3,oversample,False,64,0.3,0.5,3,0.06768252471318612,105,0.8864,0.91,0.4375,0.6738,389,16,41,90,1,90
v20_oversample_noslot_d64_dr0p3_a1_s1,oversample,False,64,0.3,1.0,1,0.10190241511624593,111,0.8914,0.9247,0.3,0.6123,385,20,47,90,5,90
v20_oversample_noslot_d64_dr0p3_a1_s2,oversample,False,64,0.3,1.0,2,0.07007740785439427,109,0.8864,0.9197,0.2105,0.5651,386,19,47,90,1,90
v20_oversample_noslot_d64_dr0p3_a1_s3,oversample,False,64,0.3,1.0,3,0.059020031100282304,104,0.8815,0.9023,0.4375,0.6699,389,16,43,90,4,90
v20_oversample_noslot_d64_dr0p3_a2_s1,oversample,False,64,0.3,2.0,1,0.1232009378190224,106,0.8617,0.8883,0.3,0.5942,385,20,37,90,7,90
v20_oversample_noslot_d64_dr0p3_a2_s2,oversample,False,64,0.3,2.0,2,0.07336525604701959,112,0.8642,0.8938,0.2105,0.5522,386,19,45,90,4,90
v20_oversample_noslot_d64_dr0p3_a2_s3,oversample,False,64,0.3,2.0,3,0.06737684250737612,94,0.884,0.91,0.3125,0.6113,389,16,40,90,4,90
v20_oversample_slots_d128_dr0p1_a0p25_s1,oversample,True,128,0.1,0.25,1,0.1386172894674998,82,0.8222,0.8494,0.2,0.5247,385,20,46,90,4,90
v20_oversample_slots_d128_dr0p1_a0p25_s2,oversample,True,128,0.1,0.25,2,0.09730547868933243,132,0.9012,0.9352,0.1579,0.5466,386,19,48,90,0,90
v20_oversample_slots_d128_dr0p1_a0p25_s3,oversample,True,128,0.1,0.25,3,0.11129918622855957,130,0.8889,0.928,0.0625,0.4953,389,16,46,90,2,90
v20_oversample_slots_d128_dr0p1_a0p5_s1,oversample,True,128,0.1,0.5,1,0.11604941664980008,92,0.9062,0.9377,0.25,0.5938,385,20,47,90,3,90
v20_oversample_slots_d128_dr0p1_a0p5_s2,oversample,True,128,0.1,0.5,2,0.10344664852779645,107,0.8963,0.9326,0.1053,0.519,386,19,43,90,1,90
v20_oversample_slots_d128_dr0p1_a0p5_s3,oversample,True,128,0.1,0.5,3,0.0883475954984673,133,0.9358,0.9692,0.25,0.6096,389,16,50,90,2,90
v20_oversample_slots_d128_dr0p1_a1_s1,oversample,True,128,0.1,1.0,1,0.12207553421075527,75,0.9012,0.9325,0.3,0.6162,385,20,52,90,5,90
v20_oversample_slots_d128_dr0p1_a1_s2,oversample,True,128,0.1,1.0,2,0.08692772084703812,109,0.8963,0.9352,0.1053,0.5202,386,19,51,90,1,90
