regime,slots,d_model,dropout,alpha,n_seeds,bal_mean,bal_std,reg_mean,reg_std,irr_mean,irr_std,wug_reg_mean,wug_irr_mean
natural,True,64,0.1,2.0,3,0.5442,0.05376281242643468,0.9491666666666667,0.010149055785309948,0.13926666666666668,0.09825661979395248,54.333333333333336,1.3333333333333333
natural,False,128,0.1,2.0,3,0.5434,0.07712282411841519,0.9517333333333333,0.002715388247255528,0.1351,0.15220390927962396,55.0,0.6666666666666666
natural,True,64,0.2,0.5,3,0.5429666666666667,0.07223858618033255,0.9508333333333333,0.009432567695666604,0.1351,0.15220390927962396,55.0,0.6666666666666666
natural,False,128,0.2,0.5,3,0.5424666666666668,0.04950316488198846,0.9457,0.011655041827466798,0.13926666666666668,0.09825661979395248,48.0,0.6666666666666666
natural,False,64,0.3,0.5,3,0.5423333333333333,0.038748462335082855,0.9620666666666667,0.007681362726322288,0.1226,0.07036355590787038,50.666666666666664,0.3333333333333333
natural,True,128,0.3,0.5,3,0.5420333333333334,0.068510899376182,0.9490666666666666,0.021888429211191343,0.1351,0.15220390927962396,51.333333333333336,1.3333333333333333
natural,True,64,0.2,1.0,3,0.5419666666666667,0.06252969961013197,0.9654999999999999,0.008354040938372304,0.11843333333333333,0.1255163867123864,56.333333333333336,1.3333333333333333
natural,False,64,0.3,0.25,3,0.5394333333333333,0.06990774873598299,0.9405333333333333,0.00032145502536639643,0.13836666666666667,0.1400660677442375,48.0,0.3333333333333333
oversample,False,128,0.1,0.5,3,0.539,0.0429789483352024,0.9388000000000001,0.015755316562989136,0.13926666666666668,0.09825661979395248,51.333333333333336,1.3333333333333333
natural,False,64,0.1,0.25,3,0.5386333333333333,0.038848080175644874,0.9171999999999999,0.009681425514871275,0.1601,0.07847630215549149,47.666666666666664,0.3333333333333333
natural,True,128,0.3,0.25,3,0.5382333333333333,0.015912678383393927,0.9155000000000001,0.005768882040742379,0.16096666666666667,0.03759392681449138,48.0,1.0
oversample,True,64,0.1,0.5,3,0.5363666666666667,0.030040861061782772,0.9293333333333332,0.01036452282226895,0.14343333333333333,0.04996862348847859,47.0,2.3333333333333335
natural,False,128,0.2,0.25,3,0.5329666666666667,0.04855824681074611,0.9267,0.00931450481775599,0.13926666666666668,0.09825661979395248,51.666666666666664,0.6666666666666666
natural,False,128,0.3,1.0,3,0.5327666666666667,0.06307149382512936,0.9646333333333335,0.010818656724997495,0.10086666666666666,0.13180384415233623,53.0,0.6666666666666666
natural,True,64,0.2,2.0,3,0.5318999999999999,0.051862221317641205,0.9620666666666665,0.003744774136491177,0.10176666666666667,0.10004680571279292,56.333333333333336,0.6666666666666666
natural,True,64,0.3,1.0,3,0.5318999999999999,0.055283722740061575,0.9621,0.01574579308894915,0.10176666666666667,0.10004680571279292,52.0,0.6666666666666666
natural,False,64,0.3,2.0,3,0.5314666666666668,0.05258577120603379,0.9612000000000002,0.01030145620774076,0.10176666666666667,0.10004680571279292,54.333333333333336,1.0
natural,False,64,0.1,2.0,3,0.5301666666666667,0.0422669295470269,0.9585666666666667,0.01631727101366319,0.10176666666666667,0.10004680571279292,54.666666666666664,1.0
natural,True,64,0.3,2.0,3,0.5297333333333334,0.04862317691526682,0.9577333333333332,0.006625204399362581,0.10176666666666667,0.10004680571279292,54.666666666666664,1.3333333333333333
natural,True,128,0.2,0.5,3,0.5290333333333334,0.06555610828392218,0.9397000000000001,0.011411835960966107,0.11843333333333333,0.1255163867123864,52.666666666666664,1.0
